topic,message_bytes,rate_hz,max_instances,payload_bytes_s,conservative_bytes_s
differential_pressure,32,83.0,2,5312,7968
airspeed_quality_input,58,50.0,1,2900,3700
airspeed,32,20.0,1,640,960
airspeed_validated,41,10.0,1,410,570
ekf2_airspeed_quality,165,10.0,1,1650,1810
airspeed_selector_quality_status,60,10.0,1,600,760
estimator_aid_src_airspeed,59,20.0,2,2360,3000
encoder_count,24,100.0,1,2400,4000
rpm,16,100.0,2,3200,6400
flap_frequency,12,100.0,1,1200,2800
wing_phase,41,100.0,1,4100,5700
wind,48,20.0,1,960,1280
estimator_wind,48,20.0,2,1920,2560
airspeed_wind,61,20.0,4,4880,6160
tecs_status,104,20.0,1,2080,2400
fixed_wing_lateral_guidance_status,37,20.0,1,740,1060
fixed_wing_lateral_status,16,20.0,1,320,640
fixed_wing_lateral_setpoint,20,50.0,1,1000,1800
fixed_wing_longitudinal_setpoint,28,50.0,1,1400,2200
vehicle_attitude_setpoint,40,50.0,1,2000,2800
vehicle_rates_setpoint,33,50.0,1,1650,2450
vehicle_attitude,49,50.0,1,2450,3250
vehicle_angular_velocity,40,50.0,1,2000,2800
vehicle_torque_setpoint,28,100.0,2,5600,8800
vehicle_thrust_setpoint,28,100.0,2,5600,8800
actuator_motors,66,100.0,1,6600,8200
actuator_servos,48,100.0,1,4800,6400
